Season,Date,Team,Opponent,Is_Home,Game_Number_Team,Game_Number_Opp,Team_ORtg_avg,Team_DRtg_avg,Team_NetRtg_avg,Team_Pace_avg,Team_WinPct_avg,Team_eFG%_avg,Team_TOV%_avg,Team_ORB%_avg,Team_FT/FGA_avg,Team_TS%_avg,Team_TRB%_avg,Team_AST%_avg,Team_STL%_avg,Team_BLK%_avg,Team_NetRtg_last5,Team_NetRtg_last10,Team_WinPct_last5,Team_WinPct_last10,Team_Points_For_avg,Team_Points_Against_avg,Team_Current_Win_Streak,Team_Current_Loss_Streak,Team_Home_WinPct,Team_Away_WinPct,Team_Days_Rest,Team_Is_BackToBack,Opp_ORtg_avg,Opp_DRtg_avg,Opp_NetRtg_avg,Opp_Pace_avg,Opp_WinPct_avg,Opp_eFG%_avg,Opp_TOV%_avg,Opp_ORB%_avg,Opp_FT/FGA_avg,Opp_TS%_avg,Opp_TRB%_avg,Opp_AST%_avg,Opp_STL%_avg,Opp_BLK%_avg,Opp_NetRtg_last5,Opp_NetRtg_last10,Opp_WinPct_last5,Opp_WinPct_last10,Opp_Points_For_avg,Opp_Points_Against_avg,Opp_Current_Win_Streak,Opp_Current_Loss_Streak,Opp_Home_WinPct,Opp_Away_WinPct,Opp_Days_Rest,Opp_Is_BackToBack,Team_Score,Opp_Score,Result,OT,NetRtg_Diff,ORtg_Diff,DRtg_Diff,WinPct_Diff,NetRtg_Diff_last5,WinPct_Diff_last5,NetRtg_Diff_last10,WinPct_Diff_last10,eFG%_Diff,TOV%_Diff,ORB%_Diff,FT/FGA_Diff,Pace_Diff,Rest_Advantage,Win_Streak_Diff
2015-16,2015-10-30,LAL,SAC,0,2,2,110.3,111.3,-1.0,100.6,0.0,0.44,11.7,26.7,0.36,0.53,55.2,51.4,2.0,6.3,-1.0,-1.0,0.0,0.0,111.0,112.0,0,1,,0.0,2,0,100.6,107.4,-6.8,103.4,0.0,0.5,15.0,25.0,0.12,0.51,53.8,58.5,7.7,4.9,-6.8,-6.8,0.0,0.0,104.0,111.0,0,1,0.0,,2,0,114,132,0,0,5.8,9.7,3.9,0.0,5.8,0.0,5.8,0.0,-0.06,-3.3,1.7,0.24,-2.8,0,0
2015-16,2015-10-30,MIL,WAS,1,2,2,101.9,128.2,-26.3,95.2,0.0,0.4,15.3,37.5,0.33,0.49,49.0,56.7,7.4,5.7,-26.3,-26.3,0.0,0.0,97.0,122.0,0,1,0.0,,2,0,90.2,89.2,1.0,97.6,1.0,0.44,15.9,27.8,0.18,0.46,46.7,51.5,8.2,12.2,1.0,1.0,1.0,1.0,88.0,87.0,1,0,,1.0,2,0,113,118,0,0,-27.3,11.7,39.0,-1.0,-27.3,-1.0,-27.3,-1.0,-0.04,-0.6,9.7,0.15,-2.4,0,-1
2015-16,2015-10-30,OKC,ORL,0,2,2,110.2,104.3,5.9,101.6,1.0,0.53,16.6,27.5,0.24,0.58,55.6,50.0,6.9,5.1,5.9,5.9,1.0,1.0,112.0,106.0,1,0,,0.0,2,0,89.2,90.2,-1.0,97.6,0.0,0.4,13.2,33.3,0.08,0.41,53.3,54.1,9.2,10.7,-1.0,-1.0,0.0,0.0,87.0,88.0,0,1,0.0,,2,0,139,136,1,1,6.9,21.0,14.1,1.0,6.9,1.0,6.9,1.0,0.13,3.4,-5.8,0.16,4.0,0,1
2015-16,2015-10-30,PHI,UTA,1,2,2,94.5,111.5,-17.0,100.5,0.0,0.45,20.5,31.1,0.24,0.51,52.9,35.3,10.9,9.8,-17.0,-17.0,0.0,0.0,95.0,112.0,0,1,0.0,,2,0,95.8,101.3,-5.5,90.8,0.0,0.48,12.5,10.3,0.2,0.52,46.9,42.9,4.4,9.1,-5.5,-5.5,0.0,0.0,87.0,92.0,0,1,,0.0,2,0,71,99,0,0,-11.5,-1.3,10.2,0.0,-11.5,0.0,-11.5,0.0,-0.03,8.0,20.8,0.04,9.7,0,0
2015-16,2015-10-30,PHX,POR,1,2,2,93.2,108.9,-15.7,102.0,0.0,0.42,15.1,23.6,0.24,0.47,52.5,44.1,2.9,4.7,-15.7,-15.7,0.0,0.0,95.0,111.0,0,1,0.0,,2,0,111.0,93.1,17.9,100.9,1.0,0.57,11.3,15.0,0.14,0.6,56.7,50.0,6.9,6.9,17.9,17.9,1.0,1.0,112.0,94.0,1,0,,0.0,2,0,110,92,1,0,-33.6,-17.8,15.8,-1.0,-33.6,-1.0,-33.6,-1.0,-0.15,3.8,8.6,0.1,1.1,0,-1
2015-16,2015-10-31,BKN,MEM,0,3,3,89.5,111.2,-21.7,97.5,0.0,0.43,13.1,18.15,0.17,0.46,45.0,51.75,8.7,9.7,-21.7,-21.7,0.0,0.0,87.5,108.5,0,2,,0.0,1,0,98.3,109.3,-11.0,95.6,0.5,0.45,13.9,25.4,0.24,0.5,47.55,57.55,10.5,7.95,-11.0,-11.0,0.5,0.5,94.0,104.5,1,0,0.0,,2,0,91,101,0,0,-10.7,-8.8,1.9,-0.5,-10.7,-0.5,-10.7,-0.5,-0.02,-0.8,-7.25,-0.07,1.9,-1,-1
2015-16,2015-10-31,GSW,NOP,0,3,3,111.65,93.6,18.05,99.85,1.0,0.49,11.5,34.3,0.2,0.53,55.95,65.6,8.55,8.8,18.05,18.05,1.0,1.0,111.5,93.5,2,0,,1.0,1,0,93.75,110.65,-16.9,100.75,0.0,0.46,13.35,14.3,0.18,0.49,40.2,56.4,7.9,4.05,-16.9,-16.9,0.0,0.0,94.5,111.5,0,2,0.0,,3,0,134,120,1,0,34.95,17.9,-17.05,1.0,34.95,1.0,34.95,1.0,0.03,-1.85,20.0,0.02,-0.9,-2,2
2015-16,2015-10-31,IND,UTA,1,3,3,101.45,109.5,-8.05,99.8,0.0,0.49,14.95,20.65,0.26,0.54,45.95,67.05,10.35,5.45,-8.05,-8.05,0.0,0.0,101.0,109.0,0,2,0.0,,2,0,103.45,90.5,12.95,89.95,0.5,0.46,10.0,19.9,0.21,0.51,51.8,47.85,7.8,13.95,12.95,12.95,0.5,0.5,93.0,81.5,1,0,,0.5,1,0,76,97,0,0,-21.0,-2.0,19.0,-0.5,-21.0,-0.5,-21.0,-0.5,0.03,4.95,0.75,0.05,9.85,1,-1
2015-16,2015-10-31,LAC,SAC,1,3,3,105.75,94.3,11.45,101.65,1.0,0.52,10.55,15.15,0.25,0.55,47.65,51.45,6.85,12.4,11.45,11.45,1.0,1.0,107.5,96.0,2,0,1.0,,2,0,110.7,105.85,4.85,106.35,0.5,0.52,12.95,30.3,0.17,0.54,57.0,54.25,6.6,8.8,4.85,4.85,0.5,0.5,118.0,112.5,1,0,,0.0,1,0,114,109,1,0,6.6,-4.95,-11.55,0.5,6.6,0.5,6.6,0.5,0.0,-2.4,-15.15,0.08,-4.7,1,1
2015-16,2015-10-31,NYK,WAS,0,3,3,113.55,105.75,7.8,98.7,0.5,0.47,13.1,36.45,0.26,0.53,53.1,56.2,10.7,8.55,7.8,7.8,0.5,0.5,111.5,104.5,0,1,,1.0,2,0,104.05,101.05,3.0,98.85,1.0,0.52,17.65,25.65,0.35,0.57,50.15,61.45,7.6,10.4,3.0,3.0,1.0,1.0,103.0,100.0,2,0,0.0,,1,0,117,110,1,0,4.8,9.5,4.7,-0.5,4.8,-0.5,4.8,-0.5,-0.05,-4.55,10.8,-0.09,-0.15,1,-2
